timestampEpochMillis,username,rating
1781689070103,"Daria",5
1781689555242,"Bidder8",4
1781689555188,"Bidder29",2
1781689555253,"Bidder21",3
1781689555323,"Bidder26",5
1781689555256,"Bidder25",4
1781689555203,"Bidder17",5
1781689555269,"Bidder14",3
1781689555193,"Bidder12",5
1781689555211,"Bidder16",1
1781689555220,"Bidder9",3
1781689555208,"Bidder2",1
1781689555203,"Bidder1",4
1781689555195,"Bidder3",3
1781689555263,"Bidder10",3
1781689555088,"Bidder13",5
1781689555062,"Bidder4",1
1781689555165,"Bidder5",1
1781689555173,"Bidder6",1
1781689555233,"Bidder15",4
1781689555148,"Bidder7",4
1781689555263,"Bidder33",2
1781689555225,"Bidder31",1
1781689555267,"Bidder19",1
1781689555263,"Bidder22",2
1781689555243,"Bidder30",4
1781689555266,"Bidder20",1
1781689555332,"Bidder28",4
1781689555247,"Bidder24",3
1781689555240,"Bidder18",2
1781689555598,"Bidder34",1
1781689555267,"Bidder27",2
1781689555374,"Bidder47",1
1781689555399,"Bidder35",2
1781689555462,"Bidder44",2
1781689555239,"Bidder23",2
1781689555433,"Bidder60",4
1781689555438,"Bidder38",1
1781689555406,"Bidder32",2
1781689555337,"Bidder57",1
1781689555427,"Bidder59",4
1781689555369,"Bidder52",2
1781689555443,"Bidder56",1
1781689555378,"Bidder54",2
1781689555386,"Bidder51",2
1781689555356,"Bidder53",3
1781689555368,"Bidder43",5
1781689555376,"Bidder36",2
1781689555434,"Bidder41",3
1781689555332,"Bidder45",3
1781689555710,"Bidder75",1
1781689555719,"Bidder71",3
1781689555737,"Bidder77",3
1781689555744,"Bidder65",3
1781689555660,"Bidder74",2
1781689555641,"Bidder67",1
1781689555518,"Bidder37",1
1781689555640,"Bidder69",1
1781689555553,"Bidder68",2
1781689555518,"Bidder48",4
1781689555585,"Bidder70",1
1781689555449,"Bidder50",4
1781689555751,"Bidder72",4
1781689555487,"Bidder40",5
1781689555257,"Bidder11",3
1781689555466,"Bidder49",3
1781689555413,"Bidder42",3
1781689555381,"Bidder55",3
1781689555419,"Bidder39",3
1781689555788,"Bidder82",2
1781689555807,"Bidder73",1
1781689555828,"Bidder83",3
1781689555850,"Bidder76",1
1781689555852,"Bidder79",2
1781689555852,"Bidder80",1
1781689555865,"Bidder85",5
1781689555847,"Bidder62",4
1781689555879,"Bidder86",2
1781689555876,"Bidder91",4
1781689555891,"Bidder92",2
1781689555925,"Bidder78",2
1781689555956,"Bidder84",5
1781689555962,"Bidder87",3
1781689555980,"Bidder99",4
1781689555988,"Bidder96",4
1781689555993,"Bidder94",1
1781689555983,"Bidder88",1
1781689556004,"Bidder93",4
1781689556018,"Bidder100",1
1781689556022,"Bidder95",5
1781689556023,"Bidder98",2
1781689556029,"Bidder90",1
1781689556031,"Bidder89",2
1781689556037,"Bidder97",3
1781689556039,"Bidder81",2
1781689556459,"Bidder46",2
1781689556462,"Bidder61",3
1781689556468,"Bidder58",2
1781689556496,"Bidder63",3
1781689556520,"Bidder64",2
1781689556520,"Bidder66",5
1781690182317,"Daria",5
1781690646564,"Daria",5
1781690646567,"Andrei",3
1781690646568,"Ioana",2
1781690646567,"Mihai",4
1781690646577,"Alex",1
